;UF;city;Lat;Long;height;availability;availability time
1087;PI;Caraúbas do Piauí;-3.476;-41.75;0.0;99.999;5.0
1088;BA;Caravelas;-17.753;-39.27;83.0;99.998;11.0
1089;RS;Carazinho;-28.284;-52.79;0.0;99.999;5.0
1090;MG;Carbonita;-17.5;-43.02;863.0;99.999;5.0
1091;BA;Cardeal da Silva;-11.942;-37.95;0.0;99.998;11.0
1092;SP;Cardoso;-20.082;-49.91;97.0;99.999;5.0
1093;RJ;Cardoso Moreira;-21.488;-41.62;448.0;99.998;11.0
1094;MG;Careaçu;-22.043;-45.7;894.0;99.999;5.0
1095;AM;Careiro;-3.757;-60.37;0.0;99.999;5.0
1096;AM;Careiro da Várzea;-3.25;-59.75;0.0;99.999;5.0
1097;ES;Cariacica;-20.264;-40.42;112.0;99.998;11.0
1098;CE;Caridade;-4.232;-39.19;406.0;99.999;5.0
1099;PI;Caridade do Piauí;-7.753;-40.99;139.0;99.999;5.0
1100;BA;Carinhanha;-14.305;-43.77;453.0;99.999;5.0
1101;SE;Carira;-10.361;-37.7;0.0;99.999;5.0
1102;CE;Cariré;-3.951;-40.47;152.0;99.999;5.0
1103;TO;Cariri do Tocantins;-11.756;-49.13;289.0;99.999;5.0
1104;CE;Caririaçu;-7.042;-39.28;545.0;99.999;5.0
1105;CE;Cariús;-6.5;-39.5;257.0;99.999;5.0
1106;MT;Carlinda;-9.958;-55.75;0.0;99.999;5.0
1107;PR;Carlópolis;-23.425;-49.72;571.0;99.999;5.0
1108;RS;Carlos Barbosa;-29.298;-51.5;0.0;99.999;5.0
1109;MG;Carlos Chagas;-17.75;-40.77;265.0;99.999;5.0
1110;RS;Carlos Gomes;-27.752;-51.91;0.0;99.999;5.0
1111;MG;Carmésia;-19.089;-43.14;704.0;99.999;5.0
1112;RJ;Carmo;-21.934;-42.61;896.0;99.999;5.0
1113;MG;Carmo da Cachoeira;-21.461;-45.22;929.0;99.999;5.0
1114;MG;Carmo da Mata;-20.6;-44.76;1038.0;99.999;5.0
1115;MG;Carmo de Minas;-22.122;-45.13;788.0;99.999;5.0
1116;MG;Carmo do Cajuru;-20.184;-44.77;900.0;99.999;5.0
1117;MG;Carmo do Paranaíba;-19.001;-46.32;837.0;99.999;5.0
1118;MG;Carmo do Rio Claro;-20.972;-46.12;604.0;99.999;5.0
1119;GO;Carmo do Rio Verde;-15.354;-49.71;234.0;99.999;5.0
1120;TO;Carmolândia;-7.033;-48.4;896.0;99.999;5.0
1121;SE;Carmópolis;-10.648;-36.99;0.0;99.998;11.0
1122;MG;Carmópolis de Minas;-20.5;-44.64;319.0;99.999;5.0
1123;PE;Carnaíba;-7.755;-37.79;0.0;99.999;5.0
1124;RN;Carnaúba dos Dantas;-6.6;-36.6;0.0;99.999;5.0
1125;RN;Carnaubais;-5.348;-36.75;0.0;99.999;5.0
1126;CE;Carnaubal;-4.126;-40.94;806.0;99.999;5.0
1127;PE;Carnaubeira da Penha;-8.319;-38.74;799.0;99.999;5.0
1128;MG;Carneirinho;-19.698;-50.69;434.0;99.999;5.0
1129;AL;Carneiros;-9.483;-37.38;0.0;99.999;5.0
1130;RR;Caroebe;0.756;-59.7;0.0;99.999;5.0
1131;MA;Carolina;-7.333;-47.47;219.0;99.999;5.0
1132;PE;Carpina;-7.756;-35.25;0.0;99.998;11.0
1133;MG;Carrancas;-21.488;-44.64;1116.0;99.999;5.0
1134;PB;Carrapateira;-7.039;-38.34;0.0;99.999;5.0
1135;TO;Carrasco Bonito;-5.322;-48.03;147.0;99.999;5.0
1136;PE;Caruaru;-8.283;-35.98;0.0;99.999;5.0
1137;MA;Carutapera;-1.195;-46.02;18.0;99.998;11.0
1138;MG;Carvalhópolis;-21.758;-45.75;835.0;99.999;5.0
1139;MG;Carvalhos;-22.001;-44.46;1195.0;99.999;5.0
1140;SP;Casa Branca;-21.757;-47.09;709.0;99.999;5.0
1141;MG;Casa Grande;-20.759;-43.93;970.0;99.999;5.0
1142;BA;Casa Nova;-9.125;-40.97;436.0;99.999;5.0
1143;RS;Casca;-28.6;-51.98;702.0;99.999;5.0
1144;MG;Cascalho Rico;-18.6;-47.76;0.0;99.999;5.0
1145;CE;Cascavel;-4.133;-38.24;0.0;99.998;11.0
1146;PR;Cascavel;-24.956;-53.46;726.0;99.999;5.0
1147;TO;Caseara;-9.278;-49.96;187.0;99.999;5.0
1148;RS;Caseiros;-28.269;-51.69;0.0;99.999;5.0
1149;RJ;Casimiro de Abreu;-22.481;-42.25;19.0;99.998;11.0
1150;PE;Casinhas;-7.754;-35.72;0.0;99.999;5.0
1151;PB;Casserengue;-6.755;-35.72;0.0;99.999;5.0
1152;MG;Cássia;-20.6;-46.92;926.0;99.999;5.0
1153;SP;Cássia dos Coqueiros;-21.283;-47.13;733.0;99.999;5.0
1154;MS;Cassilândia;-19.113;-51.73;594.0;99.999;5.0
1155;PA;Castanhal;-1.294;-47.93;56.0;99.998;11.0
1156;MT;Castanheira;-11.133;-58.6;0.0;99.999;5.0
1157;RO;Castanheiras;-11.418;-61.94;0.0;99.999;5.0
1158;GO;Castelândia;-18.089;-50.22;526.0;99.999;5.0
1159;ES;Castelo;-20.604;-41.18;260.0;99.998;11.0
1160;PI;Castelo do Piauí;-5.322;-41.6;272.0;99.999;5.0
1161;SP;Castilho;-20.756;-51.49;327.0;99.999;5.0
1162;PR;Castro;-24.759;-50.01;201.0;99.999;5.0
1163;BA;Castro Alves;-12.757;-39.43;996.0;99.999;5.0
1164;MG;Cataguases;-21.389;-42.7;225.0;99.999;5.0
1165;GO;Catalão;-18.126;-47.95;766.0;99.999;5.0
1166;SP;Catanduva;-21.138;-48.97;517.0;99.999;5.0
1167;PR;Catanduvas;-25.253;-53.16;556.0;99.999;5.0
1168;SC;Catanduvas;-27.071;-51.66;0.0;99.999;5.0
1169;CE;Catarina;-6.131;-39.76;423.0;99.999;5.0
1170;MG;Catas Altas;-20.075;-43.41;809.0;99.999;5.0
1171;MG;Catas Altas da Noruega;-20.69;-43.5;754.0;99.999;5.0
1172;PE;Catende;-8.667;-35.72;0.0;99.998;11.0
1173;SP;Catiguá;-21.049;-49.06;499.0;99.999;5.0
1174;PB;Catingueira;-7.126;-37.61;0.0;99.999;5.0
1175;BA;Catolândia;-12.318;-44.76;732.0;99.999;5.0
1176;PB;Catolé do Rocha;-6.344;-37.75;0.0;99.999;5.0
1177;BA;Catu;-12.353;-38.38;0.0;99.998;11.0
1178;RS;Catuípe;-28.25;-54.01;0.0;99.999;5.0
1179;MG;Catuji;-17.299;-41.5;644.0;99.999;5.0
1180;CE;Catunda;-4.648;-40.25;282.0;99.999;5.0
1181;GO;Caturaí;-16.447;-49.49;749.0;99.999;5.0
1182;BA;Caturama;-13.329;-42.29;583.0;99.999;5.0
1183;PB;Caturité;-7.42;-36.03;0.0;99.999;5.0
1184;MG;Catuti;-15.358;-42.96;501.0;99.999;5.0
1185;CE;Caucaia;-3.754;-38.65;72.0;99.998;11.0
1186;GO;Cavalcante;-13.76;-47.46;908.0;99.999;5.0
1187;MG;Caxambu;-21.977;-44.93;0.0;99.999;5.0
1188;SC;Caxambu do Sul;-27.125;-52.76;924.0;99.999;5.0
1189;MA;Caxias;-4.756;-43.36;0.0;99.999;5.0
1190;RS;Caxias do Sul;-29.126;-51.18;115.0;99.999;5.0
1191;PI;Caxingó;-3.418;-41.76;51.0;99.999;5.0
1192;RN;Ceará-Mirim;-5.634;-35.43;0.0;99.998;11.0
1193;MA;Cedral;-2.0;-44.5;40.0;99.998;11.0
1194;SP;Cedral;-20.903;-49.27;565.0;99.999;5.0
1195;CE;Cedro;-6.607;-39.06;0.0;99.999;5.0
1196;PE;Cedro;-7.752;-39.24;831.0;99.999;5.0
1197;SE;Cedro de São João;-10.252;-36.76;241.0;99.998;11.0
1198;MG;Cedro do Abaeté;-19.148;-45.71;539.0;99.999;5.0
1199;SC;Celso Ramos;-27.634;-51.34;0.0;99.999;5.0
1200;RS;Centenário;-27.756;-52.0;379.0;99.999;5.0
1201;TO;Centenário;-8.951;-47.34;0.0;99.999;5.0
1202;PR;Centenário do Sul;-22.755;-51.6;243.0;99.999;5.0
1203;BA;Central;-11.136;-42.11;363.0;99.999;5.0
1204;MG;Central de Minas;-18.756;-41.31;42.0;99.999;5.0
1205;MA;Central do Maranhão;-2.199;-44.75;694.0;99.998;11.0
1206;MG;Centralina;-18.6;-49.2;607.0;99.999;5.0
1207;MA;Centro do Guilherme;-2.369;-46.0;74.0;99.999;5.0
1208;MA;Centro Novo do Maranhão;-2.107;-46.13;96.0;99.999;5.0
1209;RO;Cerejeiras;-13.189;-60.75;0.0;99.999;5.0
1210;GO;Ceres;-15.308;-49.6;711.0;99.999;5.0
1211;SP;Cerqueira César;-23.036;-49.13;749.0;99.999;5.0
1212;SP;Cerquilho;-23.126;-47.74;563.0;99.999;5.0
1213;RS;Cerrito;-31.756;-52.75;0.0;99.999;5.0
1214;PR;Cerro Azul;-24.755;-49.26;413.0;99.999;5.0
1215;RS;Cerro Branco;-29.654;-52.93;0.0;99.999;5.0
1216;RN;Cerro Corá;-6.046;-36.35;0.0;99.999;5.0
1217;RS;Cerro Grande;-27.606;-53.13;0.0;99.999;5.0
1218;RS;Cerro Grande do Sul;-30.6;-51.75;0.0;99.999;5.0
1219;RS;Cerro Largo;-28.149;-54.74;0.0;99.999;5.0
1220;SC;Cerro Negro;-27.76;-50.76;0.0;99.999;5.0
1221;SP;Cesário Lange;-23.227;-47.95;607.0;99.999;5.0
1222;PR;Céu Azul;-25.147;-53.75;451.0;99.999;5.0
1223;GO;Cezarina;-16.972;-49.78;583.0;99.999;5.0
1224;PE;Chã de Alegria;-8.001;-35.21;0.0;99.998;11.0
1225;PE;Chã Grande;-8.238;-35.46;0.0;99.998;11.0
1226;AL;Chã Preta;-9.255;-36.3;0.0;99.998;11.0
1227;MG;Chácara;-21.672;-43.22;812.0;99.999;5.0
1228;MG;Chalé;-20.044;-41.69;605.0;99.999;5.0
1229;RS;Chapada;-28.055;-53.07;314.0;99.999;5.0
1230;TO;Chapada da Natividade;-11.617;-47.75;222.0;99.999;5.0
1231;TO;Chapada de Areia;-10.144;-49.14;705.0;99.999;5.0
1232;MG;Chapada do Norte;-17.087;-42.5;0.0;99.999;5.0
1233;MT;Chapada dos Guimarães;-15.461;-55.75;693.0;99.999;5.0
1234;MG;Chapada Gaúcha;-15.306;-45.62;839.0;99.999;5.0
1235;GO;Chapadão do Céu;-18.408;-52.5;0.0;99.999;5.0
1236;SC;Chapadão do Lageado;-27.6;-49.6;690.0;99.999;5.0
1237;MS;Chapadão do Sul;-18.759;-52.62;0.0;99.999;5.0
1238;MA;Chapadinha;-3.754;-43.36;73.0;99.998;11.0
1239;SC;Chapecó;-27.096;-52.62;0.0;99.999;5.0
1240;SP;Charqueada;-22.5;-47.78;571.0;99.999;5.0
1241;RS;Charqueadas;-29.955;-51.63;0.0;99.999;5.0
1242;RS;Charrua;-27.952;-52.02;0.0;99.999;5.0
1243;CE;Chaval;-3.034;-41.24;25.0;99.999;5.0
1244;SP;Chavantes;-23.039;-49.71;488.0;99.999;5.0
1245;PA;Chaves;-0.125;-49.99;0.0;99.998;11.0
1246;MG;Chiador;-22.003;-43.06;293.0;99.999;5.0
1247;RS;Chiapeta;-27.923;-53.94;0.0;99.999;5.0
1248;PR;Chopinzinho;-25.756;-52.5;634.0;99.999;5.0
1249;CE;Choró;-4.755;-39.14;366.0;99.999;5.0
1250;CE;Chorozinho;-4.3;-38.5;0.0;99.998;11.0
1251;BA;Chorrochó;-8.98;-39.1;432.0;99.999;5.0
1252;RS;Chuí;-33.691;-53.46;0.0;99.999;5.0
1253;RO;Chupinguaia;-12.6;-60.76;0.0;99.999;5.0
1254;RS;Chuvisca;-30.756;-51.98;0.0;99.999;5.0
1255;PR;Cianorte;-23.663;-52.61;531.0;99.999;5.0
1256;BA;Cícero Dantas;-10.6;-38.38;0.0;99.999;5.0
1257;PR;Cidade Gaúcha;-23.38;-52.94;386.0;99.999;5.0
1258;GO;Cidade Ocidental;-16.077;-47.93;875.0;99.999;5.0
1259;MA;Cidelândia;-5.174;-47.78;259.0;99.999;5.0
1260;RS;Cidreira;-30.181;-50.26;0.0;99.999;5.0
1261;BA;Cipó;-11.1;-38.5;162.0;99.999;5.0
1262;MG;Cipotânea;-20.905;-43.37;692.0;99.999;5.0
1263;RS;Ciríaco;-28.344;-51.76;0.0;99.999;5.0
1264;MG;Claraval;-20.399;-47.27;865.0;99.999;5.0
1265;MG;Claro dos Poções;-17.08;-44.26;630.0;99.999;5.0
1266;MT;Cláudia;-11.5;-54.76;0.0;99.999;5.0
1267;MG;Cláudio;-20.443;-44.77;841.0;99.999;5.0
1268;SP;Clementina;-21.6;-50.45;439.0;99.999;5.0
1269;PR;Clevelândia;-26.396;-52.47;893.0;99.999;5.0
1270;BA;Coaraci;-14.641;-39.6;578.0;99.998;11.0
1271;AM;Coari;-4.085;-63.14;0.0;99.999;5.0
1272;PI;Cocal;-3.472;-41.6;139.0;99.999;5.0
1273;PI;Cocal de Telha;-4.6;-41.97;0.0;99.999;5.0
1274;SC;Cocal do Sul;-28.601;-49.33;233.0;99.999;5.0
1275;PI;Cocal dos Alves;-3.753;-41.45;231.0;99.999;5.0
1276;MT;Cocalinho;-14.397;-51.0;149.0;99.999;5.0
1277;GO;Cocalzinho de Goiás;-15.759;-48.78;763.0;99.999;5.0
1278;BA;Cocos;-14.184;-44.5;729.0;99.999;5.0
1279;AM;Codajás;-3.755;-62.06;0.0;99.999;5.0
1280;MA;Codó;-4.455;-43.76;79.0;99.999;5.0
1281;MA;Coelho Neto;-4.257;-43.01;112.0;99.998;11.0
1282;MG;Coimbra;-20.756;-42.75;710.0;99.999;5.0
1283;AL;Coité do Nóia;-9.632;-36.6;0.0;99.999;5.0
1284;PI;Coivaras;-5.089;-42.25;210.0;99.999;5.0
1285;PA;Colares;-0.937;-48.28;0.0;99.998;11.0
1286;ES;Colatina;-19.5;-40.63;228.0;99.998;11.0
1287;MT;Colíder;-10.755;-55.45;0.0;99.999;5.0
1288;SP;Colina;-20.751;-48.5;500.0;99.999;5.0
1289;MA;Colinas;-6.026;-44.25;286.0;99.999;5.0
1290;RS;Colinas;-29.388;-51.76;182.0;99.999;5.0
1291;GO;Colinas do Sul;-14.151;-48.08;573.0;99.999;5.0
1292;TO;Colinas do Tocantins;-8.059;-48.48;0.0;99.999;5.0
1293;TO;Colméia;-8.753;-48.76;283.0;99.999;5.0
1294;SP;Colômbia;-20.176;-48.69;539.0;99.999;5.0
1295;PR;Colombo;-25.292;-49.22;934.0;99.999;5.0
1296;PI;Colônia do Gurguéia;-8.182;-43.79;328.0;99.999;5.0
1297;PI;Colônia do Piauí;-7.231;-42.18;215.0;99.999;5.0
1298;AL;Colônia Leopoldina;-8.909;-35.73;0.0;99.998;11.0
1299;PR;Colorado;-22.755;-51.97;0.0;99.999;5.0
1300;RS;Colorado;-28.5;-52.99;443.0;99.999;5.0
1301;RO;Colorado do Oeste;-13.117;-60.5;0.0;99.999;5.0
1302;MG;Coluna;-18.234;-42.75;669.0;99.999;5.0
1303;TO;Combinado;-12.759;-46.5;450.0;99.999;5.0
1304;MG;Comendador Gomes;-19.698;-49.08;587.0;99.999;5.0
1305;RJ;Comendador Levy Gasparian;-22.029;-43.26;424.0;99.999;5.0
1306;MG;Comercinho;-16.296;-41.79;667.0;99.999;5.0
1307;MT;Comodoro;-13.663;-59.79;0.0;99.999;5.0
1308;PB;Conceição;-7.6;-38.5;890.0;99.999;5.0
1309;MG;Conceição da Aparecida;-21.094;-46.25;869.0;99.999;5.0
1310;ES;Conceição da Barra;-18.6;-39.73;49.0;99.998;11.0
1311;MG;Conceição da Barra de Minas;-21.129;-44.47;225.0;99.999;5.0
1312;BA;Conceição da Feira;-12.5;-39.0;520.0;99.998;11.0
1313;MG;Conceição das Alagoas;-19.915;-48.39;1157.0;99.999;5.0
1314;MG;Conceição das Pedras;-22.125;-45.45;403.0;99.999;5.0
1315;MG;Conceição de Ipanema;-19.928;-41.69;42.0;99.999;5.0
1316;RJ;Conceição de Macabu;-22.085;-41.76;138.0;99.998;11.0
1317;BA;Conceição do Almeida;-12.758;-39.17;177.0;99.998;11.0
1318;PA;Conceição do Araguaia;-8.258;-49.26;248.0;99.999;5.0
1319;PI;Conceição do Canindé;-7.756;-41.6;727.0;99.999;5.0
1320;ES;Conceição do Castelo;-20.368;-41.24;390.0;99.999;5.0
1321;BA;Conceição do Coité;-11.6;-39.28;210.0;99.999;5.0
1322;BA;Conceição do Jacuípe;-12.317;-38.77;15.0;99.998;11.0
1323;MA;Conceição do Lago-Açu;-3.755;-44.76;730.0;99.999;5.0
1324;MG;Conceição do Mato Dentro;-19.037;-43.43;673.0;99.999;5.0
1325;MG;Conceição do Pará;-19.755;-44.76;893.0;99.999;5.0
1326;MG;Conceição do Rio Verde;-21.756;-45.09;356.0;99.999;5.0
1327;TO;Conceição do Tocantins;-12.219;-47.3;839.0;99.999;5.0
1328;MG;Conceição dos Ouros;-22.413;-45.8;470.0;99.999;5.0
1329;SP;Conchal;-22.33;-47.17;660.0;99.999;5.0
1330;SP;Conchas;-23.015;-48.01;475.0;99.999;5.0
1331;SC;Concórdia;-27.234;-52.03;41.0;99.999;5.0
1332;PA;Concórdia do Pará;-2.002;-47.95;0.0;99.999;5.0
1333;PB;Condado;-6.91;-37.6;0.0;99.999;5.0
1334;PE;Condado;-7.6;-35.11;0.0;99.998;11.0
1335;BA;Conde;-11.755;-37.61;0.0;99.998;11.0
1336;PB;Conde;-7.26;-34.91;0.0;99.997;16.0
1337;BA;Condeúba;-14.756;-41.97;745.0;99.999;5.0
1338;RS;Condor;-28.258;-53.49;0.0;99.999;5.0
1339;MG;Cônego Marinho;-15.294;-44.42;801.0;99.999;5.0
1340;MG;Confins;-19.633;-43.98;738.0;99.999;5.0
1341;MT;Confresa;-10.644;-51.6;327.0;99.999;5.0
1342;PB;Congo;-7.76;-36.66;862.0;99.999;5.0
1343;MG;Congonhal;-22.153;-46.04;1059.0;99.999;5.0
1344;MG;Congonhas;-20.5;-43.76;983.0;99.999;5.0
1345;MG;Congonhas do Norte;-18.755;-43.68;741.0;99.999;5.0
1346;PR;Congonhinhas;-23.6;-50.6;0.0;99.999;5.0
1347;MG;Conquista;-19.937;-47.5;777.0;99.999;5.0
1348;MG;Conselheiro Lafaiete;-20.66;-43.79;1009.0;99.999;5.0
1349;PR;Conselheiro Mairinck;-23.63;-50.13;472.0;99.999;5.0
1350;MG;Conselheiro Pena;-19.172;-41.47;112.0;99.999;5.0
1351;MG;Consolação;-22.6;-45.92;1021.0;99.999;5.0
1352;RS;Constantina;-27.753;-52.99;0.0;99.999;5.0
1353;MG;Contagem;-19.932;-44.05;866.0;99.999;5.0
1354;PR;Contenda;-25.676;-49.5;933.0;99.999;5.0
1355;BA;Contendas do Sincorá;-13.756;-41.04;344.0;99.999;5.0
1356;MG;Coqueiral;-21.189;-45.44;831.0;99.999;5.0
1357;AL;Coqueiro Seco;-9.638;-35.75;0.0;99.998;11.0
1358;RS;Coqueiros do Sul;-28.119;-52.78;0.0;99.999;5.0
1359;MG;Coração de Jesus;-16.685;-44.37;802.0;99.999;5.0
1360;BA;Coração de Maria;-12.233;-38.75;248.0;99.998;11.0
1361;PR;Corbélia;-24.76;-53.31;527.0;99.999;5.0
1362;RJ;Cordeiro;-22.029;-42.36;684.0;99.998;11.0
1363;SP;Cordeirópolis;-22.482;-47.46;543.0;99.999;5.0
1364;BA;Cordeiros;-15.039;-41.93;776.0;99.999;5.0
1365;SC;Cordilheira Alta;-26.984;-52.6;0.0;99.999;5.0
1366;MG;Cordisburgo;-19.125;-44.32;696.0;99.999;5.0
1367;MG;Cordislândia;-21.759;-45.7;852.0;99.999;5.0
1368;CE;Coreaú;-3.5;-40.66;159.0;99.999;5.0
1369;PB;Coremas;-7.014;-37.95;0.0;99.999;5.0
1370;MS;Corguinho;-19.755;-54.75;0.0;99.999;5.0
1371;BA;Coribe;-13.755;-44.45;698.0;99.999;5.0
1372;MG;Corinto;-18.381;-44.46;590.0;99.999;5.0
1373;PR;Cornélio Procópio;-23.181;-50.65;576.0;99.999;5.0
1374;MG;Coroaci;-18.622;-42.29;519.0;99.999;5.0
1375;SP;Coroados;-21.352;-50.28;405.0;99.999;5.0
1376;MA;Coroatá;-4.13;-44.12;35.0;99.999;5.0
1377;MG;Coromandel;-18.473;-47.25;818.0;99.999;5.0
1378;RS;Coronel Barros;-28.383;-54.07;0.0;99.999;5.0
1379;RS;Coronel Bicaco;-27.752;-53.7;0.0;99.999;5.0
1380;PR;Coronel Domingos Soares;-26.228;-52.03;965.0;99.999;5.0
1381;RN;Coronel Ezequiel;-6.383;-36.21;0.0;99.999;5.0
1382;MG;Coronel Fabriciano;-19.5;-42.63;861.0;99.999;5.0
1383;SC;Coronel Freitas;-26.909;-52.7;0.0;99.999;5.0
1384;RN;Coronel João Pessoa;-6.26;-38.44;0.0;99.999;5.0
1385;BA;Coronel João Sá;-10.284;-37.93;0.0;99.999;5.0
1386;PI;Coronel José Dias;-8.755;-42.5;318.0;99.999;5.0
1387;SP;Coronel Macedo;-23.631;-49.31;627.0;99.999;5.0
1388;SC;Coronel Martins;-26.5;-52.67;652.0;99.999;5.0
1389;MG;Coronel Murta;-16.619;-42.18;374.0;99.999;5.0
1390;MG;Coronel Pacheco;-21.6;-43.27;590.0;99.999;5.0
1391;MS;Coronel Sapucaia;-23.272;-55.5;0.0;99.999;5.0
1392;PR;Coronel Vivida;-25.98;-52.6;717.0;99.999;5.0
1393;MG;Coronel Xavier Chaves;-21.024;-44.22;998.0;99.999;5.0
1394;MG;Córrego Danta;-19.755;-45.9;840.0;99.999;5.0
1395;MG;Córrego do Bom Jesus;-22.63;-46.02;1079.0;99.999;5.0
1396;GO;Córrego do Ouro;-16.294;-50.5;834.0;99.999;5.0
1397;MG;Córrego Fundo;-20.449;-45.6;804.0;99.999;5.0
1398;MG;Córrego Novo;-19.755;-42.4;299.0;99.999;5.0
1399;SC;Correia Pinto;-27.6;-50.36;0.0;99.999;5.0
1400;PI;Corrente;-10.443;-45.13;477.0;99.999;5.0
1401;PE;Correntes;-9.129;-36.33;0.0;99.998;11.0
1402;BA;Correntina;-13.343;-44.64;780.0;99.999;5.0
1403;PE;Cortês;-8.47;-35.5;0.0;99.998;11.0
1404;MS;Corumbá;-19.009;-57.65;1079.0;99.999;5.0
1405;GO;Corumbá de Goiás;-15.924;-48.75;746.0;99.999;5.0
1406;GO;Corumbaíba;-18.143;-48.6;0.0;99.999;5.0
1407;SP;Corumbataí;-22.22;-47.63;524.0;99.999;5.0
1408;PR;Corumbataí do Sul;-24.101;-52.12;579.0;99.999;5.0
1409;RO;Corumbiara;-12.962;-60.76;0.0;99.999;5.0
1410;SC;Corupá;-26.425;-49.24;272.0;99.999;5.0
1411;AL;Coruripe;-10.126;-36.18;0.0;99.998;11.0
1412;SP;Cosmópolis;-22.646;-47.2;588.0;99.999;5.0
1413;SP;Cosmorama;-20.478;-49.78;524.0;99.999;5.0
1414;RO;Costa Marques;-12.445;-64.23;0.0;99.999;5.0
1415;MS;Costa Rica;-18.5;-53.13;668.0;99.999;5.0
1416;BA;Cotegipe;-12.028;-44.26;434.0;99.999;5.0
1417;SP;Cotia;-23.604;-46.92;899.0;99.999;5.0
1418;RS;Cotiporã;-28.994;-51.7;0.0;99.999;5.0
1419;MT;Cotriguaçu;-9.958;-58.41;0.0;99.999;5.0
1420;TO;Couto de Magalhães;-8.284;-49.25;781.0;99.999;5.0
1421;MG;Couto de Magalhães de Minas;-18.071;-43.47;0.0;99.999;5.0
1422;RS;Coxilha;-28.127;-52.3;0.0;99.999;5.0
1423;MS;Coxim;-18.5;-54.76;0.0;99.999;5.0
1424;PB;Coxixola;-7.627;-36.61;0.0;99.999;5.0
1425;AL;Craíbas;-9.618;-36.77;0.0;99.999;5.0
1426;CE;Crateús;-5.178;-40.68;290.0;99.999;5.0
1427;CE;Crato;-7.234;-39.41;930.0;99.999;5.0
1428;SP;Cravinhos;-21.34;-47.73;791.0;99.999;5.0
1429;BA;Cravolândia;-13.359;-39.75;664.0;99.999;5.0
1430;SC;Criciúma;-28.678;-49.37;0.0;99.999;5.0
1431;MG;Crisólita;-17.237;-40.91;265.0;99.999;5.0
1432;BA;Crisópolis;-11.5;-38.15;0.0;99.998;11.0
1433;RS;Crissiumal;-27.5;-54.1;0.0;99.999;5.0
1434;MG;Cristais;-20.756;-45.5;826.0;99.999;5.0
1435;SP;Cristais Paulista;-20.397;-47.42;770.0;99.999;5.0
1436;RS;Cristal;-31.0;-52.05;0.0;99.999;5.0
1437;RS;Cristal do Sul;-27.454;-53.25;460.0;99.999;5.0
1438;TO;Cristalândia;-10.6;-49.19;234.0;99.999;5.0
1439;PI;Cristalândia do Piauí;-10.653;-45.19;610.0;99.999;5.0
1440;MG;Cristália;-16.755;-42.76;1004.0;99.999;5.0
1441;GO;Cristalina;-16.757;-47.61;0.0;99.999;5.0
1442;MG;Cristiano Otoni;-20.755;-43.75;1048.0;99.999;5.0
1443;GO;Cristianópolis;-17.199;-48.71;853.0;99.999;5.0
1444;MG;Cristina;-22.212;-45.26;1327.0;99.999;5.0
1445;SE;Cristinápolis;-11.476;-37.76;0.0;99.998;11.0
1446;PI;Cristino Castro;-8.755;-44.22;322.0;99.999;5.0
1447;BA;Cristópolis;-12.234;-44.42;749.0;99.999;5.0
1448;GO;Crixás;-14.5;-49.97;259.0;99.999;5.0
1449;TO;Crixás do Tocantins;-11.1;-48.92;588.0;99.999;5.0
1450;CE;Croatá;-4.4;-40.91;577.0;99.999;5.0
1451;GO;Cromínia;-17.287;-49.38;744.0;99.999;5.0
1452;MG;Crucilândia;-20.384;-44.34;984.0;99.999;5.0
1453;CE;Cruz;-2.918;-40.17;0.0;99.998;11.0
1454;RS;Cruz Alta;-28.639;-53.61;199.0;99.999;5.0
1455;BA;Cruz das Almas;-12.67;-39.1;0.0;99.998;11.0
1456;PB;Cruz do Espírito Santo;-7.14;-35.09;1059.0;99.998;11.0
1457;PR;Cruz Machado;-26.018;-51.35;388.0;99.999;5.0
1458;SP;Cruzália;-22.754;-50.79;23.0;99.999;5.0
1459;SP;Cruzeiro;-22.6;-44.96;898.0;99.999;5.0
1460;MG;Cruzeiro da Fortaleza;-18.946;-46.67;450.0;99.999;5.0
1461;PR;Cruzeiro do Iguaçu;-25.616;-53.13;392.0;99.999;5.0
1462;PR;Cruzeiro do Oeste;-23.759;-53.07;0.0;99.999;5.0
1463;AC;Cruzeiro do Sul;-7.631;-72.67;466.0;99.999;5.0
1464;PR;Cruzeiro do Sul;-22.962;-52.13;0.0;99.999;5.0
1465;RS;Cruzeiro do Sul;-29.5;-51.99;571.0;99.999;5.0
1466;RN;Cruzeta;-6.412;-36.79;0.0;99.999;5.0
1467;MG;Cruzília;-21.755;-44.75;1024.0;99.999;5.0
1468;PR;Cruzmaltina;-24.013;-51.46;540.0;99.999;5.0
1469;SP;Cubatão;-23.756;-46.43;74.0;99.999;5.0
1470;PB;Cubati;-6.756;-36.38;0.0;99.999;5.0
1471;MT;Cuiabá;-15.6;-56.1;0.0;99.999;5.0
1472;PB;Cuité;-6.484;-36.15;0.0;99.999;5.0
1473;PB;Cuité de Mamanguape;-6.915;-35.25;0.0;99.998;11.0
1474;PB;Cuitegi;-6.756;-35.5;0.0;99.998;11.0
1475;RO;Cujubim;-9.363;-62.6;0.0;99.999;5.0
1476;GO;Cumari;-18.263;-48.15;659.0;99.999;5.0
1477;PE;Cumaru;-8.006;-35.7;317.0;99.999;5.0
1478;PA;Cumaru do Norte;-7.755;-50.77;0.0;99.999;5.0
