;0;5;10;20;30;60;90
93;286.008;256.62;198.292;130.829;98.558;61.171;53.977
94;286.008;257.644;199.373;131.846;99.806;61.947;54.582
95;286.008;258.667;200.975;133.321;101.053;62.807;55.399
96;286.008;259.691;202.577;134.948;102.374;63.694;56.286
97;286.008;260.715;204.179;136.574;103.76;64.581;57.174
98;286.008;261.732;206.155;138.201;105.147;65.477;58.066
99;286.008;262.74;208.234;139.827;106.908;66.586;59.09
100;286.008;263.749;210.314;141.61;108.967;67.695;60.114
101;286.008;264.757;212.588;144.074;111.027;68.805;61.138
102;286.008;265.832;214.907;146.539;113.087;70.302;62.161
103;286.008;267.042;217.226;149.003;115.146;71.966;63.324
104;286.008;268.251;219.545;151.676;117.364;73.63;64.988
105;286.008;269.461;222.061;154.387;119.859;75.293;66.651
106;286.008;270.674;224.649;157.098;122.354;77.094;68.483
107;286.008;271.894;227.237;160.496;125.322;78.896;70.825
108;286.008;273.114;230.388;164.562;129.019;80.733;73.166
109;286.008;274.334;234.408;168.629;133.21;84.06;75.507
110;286.008;275.586;238.428;172.695;139.864;87.665;79.123
111;286.008;276.865;242.468;176.949;146.14;92.655;82.866
112;286.056;278.145;246.535;184.491;153.891;97.52;86.609
113;286.125;279.425;251.042;192.957;168.82;103.379;94.968
114;286.194;280.704;257.326;205.156;189.226;113.704;105.436
115;286.264;282.258;263.611;218.714;210.013;127.269;135.381
116;286.333;283.922;270.794;232.815;232.071;164.235;165.992
117;286.402;285.044;276.418;247.316;254.128;204.401;197.045
118;286.368;285.599;280.379;264.839;276.186;243.059;238.025
119;286.299;285.863;284.34;278.184;279.588;273.346;266.951
120;286.229;285.309;284.444;279.737;268.531;273.663;244.472
121;286.16;284.742;284.075;278.18;230.365;185.855;185.063
122;286.091;283.855;279.531;255.752;194.306;151.523;150.049
123;286.021;283.003;270.15;231.79;179.282;136.064;130.252
124;286.008;282.31;263.827;216.64;169.534;126.23;112.543
125;286.008;281.617;259.362;205.772;163.157;119.097;100.617
126;286.008;281.07;257.144;199.296;159.53;113.275;96.697
127;286.008;281.07;255.117;196.209;156.425;109.083;94.701
128;286.008;281.07;254.84;195.322;155.969;106.031;93.303
129;286.008;281.07;254.562;194.689;155.553;104.479;92.986
130;286.008;281.101;254.381;194.847;155.158;103.827;92.669
131;286.008;281.338;254.843;195.006;155.99;104.074;93.06
132;286.008;281.576;255.305;195.658;156.822;104.32;93.676
133;286.008;281.814;255.767;196.583;157.672;104.686;94.292
134;286.008;282.051;256.229;197.507;158.892;105.672;95.008
135;286.008;282.289;256.942;198.431;160.112;106.658;95.861
136;286.008;282.443;257.774;199.467;161.332;107.643;96.714
137;286.008;282.591;258.605;200.973;162.687;108.73;97.567
138;286.008;282.739;259.437;202.478;164.308;109.84;98.42
139;286.008;282.886;260.276;203.983;165.929;110.949;99.477
140;286.008;283.034;261.139;205.488;167.55;112.099;100.671
141;286.008;283.153;262.001;206.993;169.171;113.578;101.865
142;286.008;283.222;262.864;208.841;170.985;115.056;103.06
143;286.008;283.292;263.715;210.689;172.981;116.535;104.254
144;286.008;283.361;264.566;212.538;174.977;118.014;105.811
145;286.008;283.43;265.416;214.386;176.974;119.719;107.474
146;286.065;283.5;266.266;216.235;179.148;121.541;109.138
147;286.126;283.608;267.117;218.153;181.366;123.363;110.801
148;286.188;283.766;267.967;220.163;183.584;125.185;112.465
149;286.25;283.924;268.817;222.173;185.802;127.007;114.342
150;286.311;284.083;269.667;224.183;188.166;128.976;116.375
151;286.373;284.241;270.518;226.194;190.586;131.114;118.408
152;286.42;284.41;271.368;228.204;193.006;133.253;120.442
153;286.42;284.612;272.218;230.248;195.425;135.392;122.527
154;286.42;284.813;273.02;232.328;197.974;137.531;124.983
155;286.42;285.015;273.805;234.407;200.596;139.766;127.439
156;286.42;285.185;274.591;236.487;203.217;142.261;129.895
157;286.42;285.185;275.376;238.566;205.838;144.757;132.351
158;286.42;285.185;276.162;240.646;208.854;147.252;134.806
159;286.42;285.185;276.948;242.993;212.181;149.747;137.614
160;286.42;285.185;277.733;245.552;215.508;153.012;140.448
161;286.42;285.185;278.519;248.112;219.262;156.45;143.282
162;286.42;285.185;279.304;250.671;223.033;159.888;146.898
163;286.42;285.241;279.968;253.23;226.803;163.491;151.057
164;286.42;285.358;280.61;255.978;230.706;168.481;155.216
165;286.42;285.474;281.252;258.793;235.004;173.472;160.788
166;286.42;285.591;281.895;261.608;239.301;178.59;167.221
167;286.42;285.708;282.537;264.424;243.534;184.505;173.717
168;286.42;285.825;283.179;267.239;247.6;190.42;180.233
169;286.42;285.941;283.821;269.943;251.667;198.524;186.748
170;286.42;286.008;284.344;272.637;255.733;205.233;193.964
171;286.42;286.008;284.837;275.33;260.613;209.78;201.358
172;286.42;286.008;285.33;278.024;265.542;214.327;208.752
173;286.42;286.008;285.597;280.717;270.471;218.874;217.331
174;286.42;286.008;285.597;282.593;275.103;226.201;227.313
175;286.42;286.008;285.597;284.146;279.539;234.63;237.294
176;286.42;286.008;285.597;284.649;281.985;244.236;248.44
177;286.42;286.008;285.62;284.981;283.76;254.033;260.798
178;286.42;286.008;285.682;285.314;284.61;267.23;273.156
179;286.42;286.008;285.743;285.63;285.35;280.267;279.929
180;286.42;286.008;285.805;285.852;285.72;283.58;283.901
181;286.42;286.008;285.866;286.074;285.905;284.558;284.788
182;286.42;286.008;285.928;286.295;286.008;285.224;285.273
183;286.437;286.008;285.99;286.42;286.008;285.597;285.431
184;286.475;286.008;285.96;286.42;285.987;285.597;285.59
185;286.513;286.008;285.891;286.42;285.886;285.455;284.991
186;286.551;286.008;285.821;286.42;285.785;284.789;284.357
187;286.59;286.008;285.752;286.42;285.684;283.469;283.156
188;286.628;286.008;285.683;286.306;285.451;280.973;280.938
189;286.666;286.008;285.613;286.121;284.342;277.993;278.72
190;286.704;286.008;285.512;285.936;283.233;272.963;271.044
191;286.743;286.008;285.401;285.751;280.976;263.859;263.004
192;286.781;286.008;285.291;285.484;278.599;255.473;254.321
193;286.819;286.008;285.185;284.79;276.174;250.675;245.702
194;286.784;286.008;285.185;284.097;273.639;246.905;237.938
195;286.715;286.008;285.185;283.294;271.104;241.251;230.175
196;286.646;286.008;285.185;282.037;268.344;234.153;222.412
197;286.576;286.008;285.185;280.78;265.492;228.158;216.126
198;286.507;286.008;285.149;279.523;262.607;222.944;210.442
199;286.438;286.008;284.991;278.267;259.465;217.954;204.758
200;286.42;286.008;284.832;277.01;256.323;213.809;200
201;286.42;286.008;284.674;275.915;254;211.098;195.564
202;286.42;286.008;284.516;274.917;251.782;208.387;193.313
203;286.42;286.008;284.36;273.919;249.982;205.723;191.342
204;286.42;286.008;284.299;272.921;248.398;204.522;189.37
205;286.42;286.008;284.237;272.33;246.893;203.32;187.87
206;286.42;286.008;284.175;271.776;246.56;202.119;186.761
207;286.42;286.008;284.114;271.221;246.227;200.918;185.652
208;286.449;286.008;284.052;270.746;245.894;200.12;184.543
209;286.499;286.008;283.991;270.576;245.766;199.616;183.721
210;286.55;286.008;283.951;270.405;246.012;199.111;183.228
211;286.6;286.008;283.951;270.235;246.259;198.607;182.735
212;286.651;286.008;283.951;270.064;246.505;198.254;182.305
213;286.701;286.008;283.951;270.009;246.706;198.052;182.305
214;286.751;286.008;283.951;270.139;246.908;197.85;182.305
215;286.802;286.008;283.951;270.27;247.11;197.649;182.305
216;286.807;286.008;283.951;270.4;247.311;197.63;182.498
217;286.749;286.008;283.951;270.531;247.722;197.867;182.745
218;286.69;286.008;283.951;270.661;248.149;198.105;182.991
219;286.632;286.008;283.951;270.799;248.575;198.343;183.353
220;286.574;286.008;283.951;271.021;249.002;198.58;183.857
221;286.515;286.008;283.951;271.242;249.419;198.896;184.361
222;286.457;286.008;283.976;271.464;249.761;199.488;184.865
223;286.44;286.008;284.029;271.686;250.102;200.079;185.369
224;286.495;286.008;284.082;271.908;250.443;200.671;185.874
225;286.551;286.008;284.134;272.13;250.784;201.262;186.378
226;286.606;286.008;284.187;272.351;251.158;201.853;186.882
227;286.662;286.008;284.24;272.553;251.615;202.493;187.386
228;286.717;286.008;284.293;272.744;252.072;203.159;187.89
229;286.773;286.008;284.346;272.936;252.528;203.824;188.394
230;286.828;286.008;284.394;273.127;252.985;204.49;188.898
231;286.773;286.008;284.44;273.318;253.442;205.155;189.453
232;286.711;286.008;284.486;273.509;253.898;205.821;190.21
233;286.65;286.008;284.532;273.701;254.342;206.486;190.966
234;286.588;286.008;284.579;273.892;254.786;207.151;191.722
235;286.527;286.008;284.625;274.083;255.23;207.817;192.478
236;286.465;286.008;284.671;274.274;255.673;208.503;193.234
237;286.42;286.008;284.717;274.465;256.117;209.224;193.99
238;286.42;286.008;284.764;274.701;256.566;209.945;194.747
239;286.42;286.008;284.774;274.942;257.023;210.666;195.501
240;286.42;286.008;284.774;275.183;257.479;211.387;196.211
241;286.42;286.008;284.774;275.424;257.936;212.108;196.92
242;286.42;286.008;284.774;275.666;258.393;212.829;197.63
243;286.42;286.008;284.774;275.907;258.849;213.549;198.34
244;286.42;286.008;284.774;276.148;259.305;214.288;199.05
245;286.42;286.008;284.774;276.389;259.748;215.027;199.76
246;286.42;286.008;284.774;276.62;260.192;215.767;200.469
247;286.42;286.008;284.774;276.833;260.635;216.506;201.179
248;286.42;286.008;284.855;277.047;261.079;217.246;201.889
249;286.42;286.008;284.947;277.26;261.523;217.985;202.601
