UF;city;Lat;Long;height
BA;Conde;-11.755;-37.61;0
PB;Conde;-7.26;-34.91;0
BA;Condeúba;-14.756;-41.97;745
RS;Condor;-28.258;-53.49;0
MG;Cônego Marinho;-15.294;-44.42;801
MG;Confins;-19.633;-43.98;738
MT;Confresa;-10.644;-51.6;327
PB;Congo;-7.76;-36.66;862
MG;Congonhal;-22.153;-46.04;1059
MG;Congonhas;-20.5;-43.76;983
MG;Congonhas do Norte;-18.755;-43.68;741
PR;Congonhinhas;-23.6;-50.6;0
MG;Conquista;-19.937;-47.5;777
MG;Conselheiro Lafaiete;-20.66;-43.79;1009
PR;Conselheiro Mairinck;-23.63;-50.13;472
MG;Conselheiro Pena;-19.172;-41.47;112
MG;Consolação;-22.6;-45.92;1021
RS;Constantina;-27.753;-52.99;0
MG;Contagem;-19.932;-44.05;866
PR;Contenda;-25.676;-49.5;933
BA;Contendas do Sincorá;-13.756;-41.04;344
MG;Coqueiral;-21.189;-45.44;831
AL;Coqueiro Seco;-9.638;-35.75;0
RS;Coqueiros do Sul;-28.119;-52.78;0
MG;Coração de Jesus;-16.685;-44.37;802
BA;Coração de Maria;-12.233;-38.75;248
PR;Corbélia;-24.76;-53.31;527
RJ;Cordeiro;-22.029;-42.36;684
SP;Cordeirópolis;-22.482;-47.46;543
BA;Cordeiros;-15.039;-41.93;776
SC;Cordilheira Alta;-26.984;-52.6;0
MG;Cordisburgo;-19.125;-44.32;696
MG;Cordislândia;-21.759;-45.7;852
CE;Coreaú;-3.5;-40.66;159
PB;Coremas;-7.014;-37.95;0
MS;Corguinho;-19.755;-54.75;0
BA;Coribe;-13.755;-44.45;698
MG;Corinto;-18.381;-44.46;590
PR;Cornélio Procópio;-23.181;-50.65;576
MG;Coroaci;-18.622;-42.29;519
SP;Coroados;-21.352;-50.28;405
MA;Coroatá;-4.13;-44.12;35
MG;Coromandel;-18.473;-47.25;818
RS;Coronel Barros;-28.383;-54.07;0
RS;Coronel Bicaco;-27.752;-53.7;0
PR;Coronel Domingos Soares;-26.228;-52.03;965
RN;Coronel Ezequiel;-6.383;-36.21;0
MG;Coronel Fabriciano;-19.5;-42.63;861
SC;Coronel Freitas;-26.909;-52.7;0
RN;Coronel João Pessoa;-6.26;-38.44;0
BA;Coronel João Sá;-10.284;-37.93;0
PI;Coronel José Dias;-8.755;-42.5;318
SP;Coronel Macedo;-23.631;-49.31;627
SC;Coronel Martins;-26.5;-52.67;652
MG;Coronel Murta;-16.619;-42.18;374
MG;Coronel Pacheco;-21.6;-43.27;590
MS;Coronel Sapucaia;-23.272;-55.5;0
PR;Coronel Vivida;-25.98;-52.6;717
MG;Coronel Xavier Chaves;-21.024;-44.22;998
MG;Córrego Danta;-19.755;-45.9;840
MG;Córrego do Bom Jesus;-22.63;-46.02;1079
GO;Córrego do Ouro;-16.294;-50.5;834
MG;Córrego Fundo;-20.449;-45.6;804
MG;Córrego Novo;-19.755;-42.4;299
SC;Correia Pinto;-27.6;-50.36;0
PI;Corrente;-10.443;-45.13;477
PE;Correntes;-9.129;-36.33;0
BA;Correntina;-13.343;-44.64;780
PE;Cortês;-8.47;-35.5;0
MS;Corumbá;-19.009;-57.65;1079
GO;Corumbá de Goiás;-15.924;-48.75;746
GO;Corumbaíba;-18.143;-48.6;0
SP;Corumbataí;-22.22;-47.63;524
PR;Corumbataí do Sul;-24.101;-52.12;579
RO;Corumbiara;-12.962;-60.76;0
SC;Corupá;-26.425;-49.24;272
AL;Coruripe;-10.126;-36.18;0
SP;Cosmópolis;-22.646;-47.2;588
SP;Cosmorama;-20.478;-49.78;524
RO;Costa Marques;-12.445;-64.23;0
MS;Costa Rica;-18.5;-53.13;668
BA;Cotegipe;-12.028;-44.26;434
SP;Cotia;-23.604;-46.92;899
RS;Cotiporã;-28.994;-51.7;0
MT;Cotriguaçu;-9.958;-58.41;0
TO;Couto de Magalhães;-8.284;-49.25;781
MG;Couto de Magalhães de Minas;-18.071;-43.47;0
RS;Coxilha;-28.127;-52.3;0
MS;Coxim;-18.5;-54.76;0
PB;Coxixola;-7.627;-36.61;0
AL;Craíbas;-9.618;-36.77;0
CE;Crateús;-5.178;-40.68;290
CE;Crato;-7.234;-39.41;930
SP;Cravinhos;-21.34;-47.73;791
BA;Cravolândia;-13.359;-39.75;664
SC;Criciúma;-28.678;-49.37;0
MG;Crisólita;-17.237;-40.91;265
BA;Crisópolis;-11.5;-38.15;0
RS;Crissiumal;-27.5;-54.1;0
MG;Cristais;-20.756;-45.5;826
SP;Cristais Paulista;-20.397;-47.42;770
RS;Cristal;-31;-52.05;0
RS;Cristal do Sul;-27.454;-53.25;460
TO;Cristalândia;-10.6;-49.19;234
PI;Cristalândia do Piauí;-10.653;-45.19;610
MG;Cristália;-16.755;-42.76;1004
GO;Cristalina;-16.757;-47.61;0
MG;Cristiano Otoni;-20.755;-43.75;1048
GO;Cristianópolis;-17.199;-48.71;853
MG;Cristina;-22.212;-45.26;1327
SE;Cristinápolis;-11.476;-37.76;0
PI;Cristino Castro;-8.755;-44.22;322
BA;Cristópolis;-12.234;-44.42;749
GO;Crixás;-14.5;-49.97;259
TO;Crixás do Tocantins;-11.1;-48.92;588
CE;Croatá;-4.4;-40.91;577
GO;Cromínia;-17.287;-49.38;744
MG;Crucilândia;-20.384;-44.34;984
CE;Cruz;-2.918;-40.17;0
RS;Cruz Alta;-28.639;-53.61;199
BA;Cruz das Almas;-12.67;-39.1;0
PB;Cruz do Espírito Santo;-7.14;-35.09;1059
PR;Cruz Machado;-26.018;-51.35;388
SP;Cruzália;-22.754;-50.79;23
SP;Cruzeiro;-22.6;-44.96;898
MG;Cruzeiro da Fortaleza;-18.946;-46.67;450
PR;Cruzeiro do Iguaçu;-25.616;-53.13;392
PR;Cruzeiro do Oeste;-23.759;-53.07;0
AC;Cruzeiro do Sul;-7.631;-72.67;466
PR;Cruzeiro do Sul;-22.962;-52.13;0
RS;Cruzeiro do Sul;-29.5;-51.99;571
RN;Cruzeta;-6.412;-36.79;0
MG;Cruzília;-21.755;-44.75;1024
PR;Cruzmaltina;-24.013;-51.46;540
SP;Cubatão;-23.756;-46.43;74
PB;Cubati;-6.756;-36.38;0
MT;Cuiabá;-15.6;-56.1;0
PB;Cuité;-6.484;-36.15;0
PB;Cuité de Mamanguape;-6.915;-35.25;0
PB;Cuitegi;-6.756;-35.5;0
RO;Cujubim;-9.363;-62.6;0
GO;Cumari;-18.263;-48.15;659
PE;Cumaru;-8.006;-35.7;317
PA;Cumaru do Norte;-7.755;-50.77;0
SE;Cumbe;-10.355;-37.18;0
SP;Cunha;-23.074;-44.96;0
SC;Cunha Porã;-26.756;-53.13;880
SC;Cunhataí;-26.969;-53.09;0
MG;Cuparaque;-18.969;-41.1;183
PE;Cupira;-8.617;-35.95;0
BA;Curaçá;-8.99;-39.91;462
PI;Curimatá;-10.036;-44.31;460
PA;Curionópolis;-6.102;-49.6;236
PR;Curitiba;-25.428;-49.27;0
SC;Curitibanos;-27.283;-50.6;929
PR;Curiúva;-24.033;-50.46;752
PI;Currais;-9.007;-44.41;0
RN;Currais Novos;-6.261;-36.5;603
PB;Curral de Cima;-6.752;-35.27;0
MG;Curral de Dentro;-15.938;-41.75;925
PI;Curral Novo do Piauí;-7.755;-40.9;414
PB;Curral Velho;-7.6;-38.2;0
PA;Curralinho;-1.755;-49.8;7
PI;Curralinhos;-5.6;-42.78;156
PA;Curuá;-1.756;-55.12;0
PA;Curuçá;-0.753;-47.75;29
MA;Cururupu;-1.755;-44.76;11
MG;Curvelo;-18.756;-44.43;648
PE;Custódia;-8.088;-37.64;0
AP;Cutias;0.986;-50.75;4
GO;Damianópolis;-14.6;-46.18;734
PB;Damião;-6.603;-35.94;0
GO;Damolândia;-16.253;-49.37;900
TO;Darcinópolis;-6.751;-47.76;361
BA;Dário Meira;-14.436;-39.91;357
MG;Datas;-18.446;-43.66;1281
RS;David Canabarro;-28.388;-51.75;0
GO;Davinópolis;-18.153;-47.6;852
MA;Davinópolis;-5.6;-47.43;211
MG;Delfim Moreira;-22.5;-45.28;1197
MG;Delfinópolis;-20.344;-46.76;890
AL;Delmiro Gouveia;-9.389;-38;0
MG;Delta;-19.977;-47.77;621
PI;Demerval Lobão;-5.358;-42.68;113
MT;Denise;-14.754;-57.05;0
MS;Deodápolis;-22.276;-54.13;319
CE;Deputado Irapuan Pinheiro;-5.917;-39.27;260
RS;Derrubadas;-27.265;-53.76;0
SP;Descalvado;-21.904;-47.62;714
SC;Descanso;-26.755;-53.5;0
MG;Descoberto;-21.46;-42.97;347
PB;Desterro;-7.291;-37.09;1129
MG;Desterro de Entre Rios;-20.66;-44.33;765
MG;Desterro do Melo;-21.147;-43.5;0
RS;Dezesseis de Novembro;-28.225;-55.05;0
SP;Diadema;-23.686;-46.62;786
PB;Diamante;-7.428;-38.26;354
PR;Diamante do Norte;-22.656;-52.76;592
PR;Diamante do Sul;-25.043;-52.68;400
PR;Diamante d'Oeste;-24.943;-54.1;0
MG;Diamantina;-18.249;-43.6;986
MT;Diamantino;-14.409;-56.45;0
TO;Dianópolis;-11.628;-46.75;792
BA;Dias d'Ávila;-12.613;-38.3;0
RS;Dilermano de Aguiar;-29.751;-54.26;0
MG;Diogo de Vasconcelos;-20.488;-43.2;684
MG;Dionísio;-19.755;-42.78;747
SC;Dionísio Cerqueira;-26.255;-53.64;347
GO;Diorama;-16.234;-51.26;441
SP;Dirce Reis;-20.466;-50.61;433
PI;Dirceu Arcoverde;-9.338;-42.43;417
SE;Divina Pastora;-10.689;-37.15;0
MG;Divinésia;-20.99;-43;764
MG;Divino;-20.614;-42.15;422
MG;Divino das Laranjeiras;-18.758;-41.48;832
ES;Divino de São Lourenço;-20.62;-41.69;916
SP;Divinolândia;-21.661;-46.74;1149
MG;Divinolândia de Minas;-18.755;-42.61;823
MG;Divinópolis;-20.139;-44.76;573
GO;Divinópolis de Goiás;-13.295;-46.39;222
TO;Divinópolis do Tocantins;-9.76;-49.21;753
MG;Divisa Alegre;-15.753;-41.35;900
MG;Divisa Nova;-21.5;-46.2;839
MG;Divisópolis;-15.753;-41;781
SP;Dobrada;-21.5;-48.39;637
SP;Dois Córregos;-22.366;-48.38;746
RS;Dois Irmãos;-29.6;-51.09;0
RS;Dois Irmãos das Missões;-27.659;-53.5;0
MS;Dois Irmãos do Buriti;-20.68;-55.3;242
TO;Dois Irmãos do Tocantins;-9.258;-49.06;0
RS;Dois Lajeados;-28.984;-51.75;0
AL;Dois Riachos;-9.393;-37.1;0
PR;Dois Vizinhos;-25.753;-53.06;499
SP;Dolcinópolis;-20.123;-50.5;440
MT;Dom Aquino;-15.755;-54.92;0
BA;Dom Basílio;-13.756;-41.77;444
MG;Dom Bosco;-16.652;-46.27;584
MG;Dom Cavati;-19.374;-42.11;461
PA;Dom Eliseu;-4.285;-47.5;136
PI;Dom Expedito Lopes;-6.959;-41.64;385
RS;Dom Feliciano;-30.75;-52.11;0
PI;Dom Inocêncio;-9.002;-41.97;395
MG;Dom Joaquim;-18.967;-43.26;585
BA;Dom Macedo Costa;-12.905;-39.19;151
RS;Dom Pedrito;-30.983;-54.67;0
MA;Dom Pedro;-5.033;-44.44;0
RS;Dom Pedro de Alcântara;-29.369;-49.75;173
MG;Dom Silvério;-20.125;-42.97;752
MG;Dom Viçoso;-22.254;-45.13;898
ES;Domingos Martins;-20.363;-40.66;784
PI;Domingos Mourão;-4.254;-41.27;126
SC;Dona Emma;-26.985;-49.73;0
MG;Dona Euzébia;-21.316;-42.75;0
RS;Dona Francisca;-29.622;-53.36;0
PB;Dona Inês;-6.603;-35.29;0
MG;Dores de Campos;-21.109;-44.02;1028
MG;Dores de Guanhães;-19.058;-42.93;503
MG;Dores do Indaiá;-19.463;-45.6;667
ES;Dores do Rio Preto;-20.689;-41.75;792
MG;Dores do Turvo;-20.976;-43.19;777
MG;Doresópolis;-20.287;-45.9;712
PE;Dormentes;-8.447;-40.77;495
MS;Douradina;-22.04;-54.61;0
PR;Douradina;-23.381;-53.29;371
SP;Dourado;-22.1;-48.32;693
MG;Douradoquara;-18.431;-47.61;0
MS;Dourados;-22.221;-54.75;700
PR;Doutor Camargo;-23.6;-52.22;359
RS;Doutor Maurício Cardoso;-27.5;-54.36;0
SC;Doutor Pedrinho;-26.751;-49.48;0
RS;Doutor Ricardo;-29.086;-51.99;0
RN;Doutor Severiano;-6.094;-38.37;0
PR;Doutor Ulysses;-24.6;-49.42;721
GO;Doverlândia;-16.752;-52.32;615
SP;Dracena;-21.483;-51.5;342
SP;Duartina;-22.414;-49.4;529
RJ;Duas Barras;-22.051;-42.5;636
PB;Duas Estradas;-6.685;-35.42;0
TO;Dueré;-11.344;-49.27;235
SP;Dumont;-21.236;-47.97;563
MA;Duque Bacelar;-4.156;-42.94;118
RJ;Duque de Caxias;-22.759;-43.31;14
MG;Durandé;-20.253;-41.8;657
SP;Echaporã;-22.429;-50.25;575
ES;Ecoporanga;-18.373;-40.75;276
GO;Edealina;-17.424;-49.66;595
GO;Edéia;-17.338;-49.93;496
AM;Eirunepé;-6.66;-69.76;0
MS;Eldorado;-23.759;-54.28;0
SP;Eldorado;-24.5;-48.11;0
RS;Eldorado do Sul;-30.084;-51.62;281
PA;Eldorado dos Carajás;-6.104;-49.36;71
PI;Elesbão Veloso;-6.252;-42.14;221
SP;Elias Fausto;-23.043;-47.37;587
PI;Eliseu Martins;-8.097;-43.66;299
SP;Elisiário;-21.126;-49.11;497
BA;Elísio Medrado;-12.946;-39.5;377
MG;Elói Mendes;-21.61;-45.6;836
PB;Emas;-7.108;-37.72;0
SP;Embaúba;-20.983;-48.75;551
SP;Embu;-23.649;-46.76;778
SP;Embu-Guaçu;-23.755;-46.75;0
SP;Emilianópolis;-21.755;-51.48;366
RS;Encantado;-29.236;-51.76;0
RN;Encanto;-6.111;-38.31;0
BA;Encruzilhada;-15.5;-40.91;0
RS;Encruzilhada do Sul;-30.5;-52.5;848
PR;Enéas Marques;-25.942;-53.13;631
PR;Engenheiro Beltrão;-23.76;-52.27;356
MG;Engenheiro Caldas;-19.219;-42.05;268
SP;Engenheiro Coelho;-22.488;-47.22;634
MG;Engenheiro Navarro;-17.28;-43.95;664
RJ;Engenheiro Paulo de Frontin;-22.5;-43.68;566
RS;Engenho Velho;-27.751;-52.91;0
MG;Entre Folhas;-19.625;-42.23;671
BA;Entre Rios;-11.942;-38.08;884
SC;Entre Rios;-26.752;-52.6;241
MG;Entre Rios de Minas;-20.671;-44.07;0
PR;Entre Rios do Oeste;-24.75;-54.23;0
RS;Entre Rios do Sul;-27.5;-52.73;0
RS;Entre-Ijuís;-28.359;-54.27;0
AM;Envira;-7.433;-70.02;0
AC;Epitaciolândia;-11.029;-68.74;0
RN;Equador;-6.945;-36.72;0
RS;Erebango;-27.756;-52.3;0
RS;Erechim;-27.634;-52.27;0
CE;Ererê;-6.032;-38.35;0
BA;Érico Cardoso;-13.418;-42.14;1204
SC;Ermo;-28.983;-49.64;0
RS;Ernestina;-28.499;-52.6;0
RS;Erval Grande;-27.391;-52.6;0
RS;Erval Seco;-27.5;-53.5;0
SC;Erval Velho;-27.276;-51.44;0
MG;Ervália;-20.755;-42.66;811
PE;Escada;-8.359;-35.22;0
RS;Esmeralda;-28.054;-51.19;0
MG;Esmeraldas;-19.756;-44.31;759
MG;Espera Feliz;-20.65;-41.91;927
PB;Esperança;-7.033;-35.76;0
RS;Esperança do Sul;-27.355;-53.99;385
PR;Esperança Nova;-23.752;-53.75;0
PI;Esperantina;-3.902;-42.23;111
TO;Esperantina;-5.343;-48.5;102
MA;Esperantinópolis;-4.756;-44.71;101
PR;Espigão Alto do Iguaçu;-25.424;-52.75;621
RO;Espigão d'Oeste;-11.5;-61.01;0
MG;Espinosa;-14.926;-42.75;970
RN;Espírito Santo;-6.332;-35.31;1289
MG;Espírito Santo do Dourado;-22.046;-45.95;871
SP;Espírito Santo do Pinhal;-22.116;-46.68;481
SP;Espírito Santo do Turvo;-22.692;-49.43;0
BA;Esplanada;-11.76;-37.95;0
RS;Espumoso;-28.752;-52.75;0
RS;Estação;-27.911;-52.26;0
SE;Estância;-11.268;-37.44;0
RS;Estância Velha;-29.648;-51.17;0
RS;Esteio;-29.756;-51.18;0
MG;Estiva;-22.463;-46.02;611
SP;Estiva Gerbi;-22.271;-46.94;855
MA;Estreito;-6.6;-47.45;252
RS;Estrela;-29.5;-51.97;363
MG;Estrela Dalva;-21.754;-42.46;0
AL;Estrela de Alagoas;-9.39;-36.76;686
MG;Estrela do Indaiá;-19.5;-45.79;430
GO;Estrela do Norte;-13.756;-49.07;381
SP;Estrela do Norte;-22.488;-51.66;784
MG;Estrela do Sul;-18.755;-47.69;477
SP;Estrela d'Oeste;-20.288;-50.4;0
RS;Estrela Velha;-29.177;-53.16;0
BA;Euclides da Cunha;-10.5;-39.02;361
SP;Euclides da Cunha Paulista;-22.6;-52.6;380
RS;Eugênio de Castro;-28.5;-54.15;0
MG;Eugenópolis;-21.099;-42.19;336
BA;Eunápolis;-16.378;-39.6;189
CE;Eusébio;-3.756;-38.45;0
MG;Ewbank da Câmara;-21.6;-43.5;760
MG;Extrema;-22.756;-46.32;895
RN;Extremoz;-5.751;-35.31;0
PE;Exu;-7.5;-39.72;554
PB;Fagundes;-7.355;-35.78;0
RS;Fagundes Varela;-28.756;-51.7;0
GO;Faina;-15.446;-50.36;356
MG;Fama;-21.406;-45.75;811
MG;Faria Lemos;-20.755;-42.03;404
CE;Farias Brito;-6.931;-39.6;343
PA;Faro;-2.171;-56.75;589
PR;Farol;-24.1;-52.62;0
RS;Farroupilha;-29.225;-51.35;0
SP;Fartura;-23.388;-49.5;405
PI;Fartura do Piauí;-9.014;-42.69;500
BA;Fátima;-10.6;-38.22;318
TO;Fátima;-10.756;-48.91;0
MS;Fátima do Sul;-22.374;-54.5;304
PR;Faxinal;-24;-51.32;0
RS;Faxinal do Soturno;-29.6;-53.44;0
SC;Faxinal dos Guedes;-26.756;-52.26;837
RS;Faxinalzinho;-27.424;-52.67;0
GO;Fazenda Nova;-16.183;-50.78;425
PR;Fazenda Rio Grande;-25.658;-49.31;924
RS;Fazenda Vilanova;-29.6;-51.75;0
AC;Feijó;-8.125;-70.35;0
BA;Feira da Mata;-14.213;-44.28;490
BA;Feira de Santana;-12.267;-38.97;224
AL;Feira Grande;-9.9;-36.68;0
PE;Feira Nova;-7.951;-35.39;367
SE;Feira Nova;-10.264;-37.31;0
MA;Feira Nova do Maranhão;-6.96;-46.69;0
MG;Felício dos Santos;-18.077;-43.25;808
RN;Felipe Guerra;-5.603;-37.69;0
MG;Felisburgo;-16.639;-40.76;842
MG;Felixlândia;-18.756;-44.76;623
RS;Feliz;-29.451;-51.31;0
AL;Feliz Deserto;-10.292;-36.31;353
MT;Feliz Natal;-12.386;-54.92;0
PR;Fênix;-23.916;-51.98;339
PR;Fernandes Pinheiro;-25.413;-50.5;861
MG;Fernandes Tourinho;-19.154;-42.08;226
PE;Fernando de Noronha (Distrito Estadual);-3.755;-32.41;0
MA;Fernando Falcão;-6.152;-44.76;295
RN;Fernando Pedroza;-5.697;-36.5;0
SP;Fernando Prestes;-21.264;-48.69;606
SP;Fernandópolis;-20.284;-50.25;464
SP;Fernão;-22.359;-49.5;563
SP;Ferraz de Vasconcelos;-23.5;-46.37;809
AP;Ferreira Gomes;0.756;-51.18;119
PE;Ferreiros;-7.448;-35.24;0
MG;Ferros;-19.232;-43.02;424
MG;Fervedouro;-20.753;-42.28;825
PR;Figueira;-23.755;-50.4;625
TO;Figueirópolis;-12.131;-49.17;0
MT;Figueirópolis d'Oeste;-15.445;-58.74;280
BA;Filadélfia;-10.754;-40.13;420
TO;Filadélfia;-7.336;-47.49;242
BA;Firmino Alves;-14.985;-39.92;351
GO;Firminópolis;-16.6;-50.31;637
AL;Flexeiras;-9.198;-35.78;0
PR;Flor da Serra do Sul;-26.26;-53.3;888
SC;Flor do Sertão;-26.758;-53.35;0
SP;Flora Rica;-21.676;-51.38;346
PR;Floraí;-23.317;-52.3;401
RN;Florânia;-6.127;-36.75;0
SP;Floreal;-20.677;-50.15;480
PE;Flores;-7.756;-37.97;0
RS;Flores da Cunha;-29.029;-51.18;472
GO;Flores de Goiás;-14.449;-47.05;265
PI;Flores do Piauí;-7.759;-42.93;0
PE;Floresta;-8.601;-38.6;211
PR;Floresta;-23.6;-52.08;208
BA;Floresta Azul;-14.756;-39.66;217
PA;Floresta do Araguaia;-7.6;-49.71;789
PI;Floresta do Piauí;-7.469;-41.79;0
MG;Florestal;-19.756;-44.43;354
PR;Florestópolis;-22.756;-51.39;512
PI;Floriano;-6.757;-43.02;0
RS;Floriano Peixoto;-27.756;-52.08;157
SC;Florianópolis;-27.6;-48.5;0
PR;Flórida;-23.087;-51.95;384
SP;Flórida Paulista;-21.615;-51.17;444
SP;Florínia;-22.903;-50.74;413
AM;Fonte Boa;-2.5;-66.09;0
RS;Fontoura Xavier;-28.983;-52.35;0
MG;Formiga;-20.464;-45.43;850
RS;Formigueiro;-30;-53.5;0
GO;Formosa;-15.5;-47.33;326
MA;Formosa da Serra Negra;-6.435;-46.19;405
PR;Formosa do Oeste;-24.293;-53.31;756
BA;Formosa do Rio Preto;-11.048;-45.19;0
SC;Formosa do Sul;-26.647;-52.79;601
GO;Formoso;-13.654;-48.76;200
MG;Formoso;-14.947;-46.23;433
TO;Formoso do Araguaia;-11.76;-49.5;748
CE;Forquilha;-3.76;-40.26;115
SC;Forquilhinha;-28.755;-49.47;0
CE;Fortaleza;-3.752;-38.5;1199
MG;Fortaleza de Minas;-20.755;-46.72;255
TO;Fortaleza do Tabocão;-9.057;-48.5;478
MA;Fortaleza dos Nogueiras;-6.964;-46.18;0
RS;Fortaleza dos Valos;-28.76;-53.22;22
CE;Fortim;-4.452;-37.8;0
MA;Fortuna;-5.753;-44.16;712
MG;Fortuna de Minas;-19.6;-44.45;137
PR;Foz do Iguaçu;-25.5;-54.6;0
PR;Foz do Jordão;-25.642;-52.1;816
SC;Fraiburgo;-27.026;-50.92;0
SP;Franca;-20.5;-47.4;991
PI;Francinópolis;-6.396;-42.26;264
PR;Francisco Alves;-24.066;-53.75;301
PI;Francisco Ayres;-6.623;-42.69;163
MG;Francisco Badaró;-16.993;-42.35;410
PR;Francisco Beltrão;-26.081;-53.06;677
RN;Francisco Dantas;-6.078;-38.12;0
MG;Francisco Dumont;-17.315;-44.23;1043
PI;Francisco Macedo;-7.331;-40.79;400
SP;Francisco Morato;-23.282;-46.75;793
MG;Francisco Sá;-16.476;-43.49;672
PI;Francisco Santos;-6.993;-41.14;327
MG;Franciscópolis;-17.96;-42.01;323
SP;Franco da Rocha;-23.322;-46.73;791
CE;Frecheirinha;-3.756;-40.75;138
RS;Frederico Westphalen;-27.359;-53.39;0
MG;Frei Gaspar;-18.066;-41.43;433
MG;Frei Inocêncio;-18.6;-41.91;203
MG;Frei Lagonegro;-18.126;-42.77;758
PB;Frei Martinho;-6.403;-36.46;0
PE;Frei Miguelinho;-7.94;-35.91;0
SE;Frei Paulo;-10.5;-37.5;0
SC;Frei Rogério;-27.175;-50.75;0
MG;Fronteira;-20.268;-49.2;381
MG;Fronteira dos Vales;-16.756;-40.92;478
PI;Fronteiras;-7.088;-40.62;428
MG;Fruta de Leite;-16.131;-42.5;872
MG;Frutal;-20.025;-48.94;489
RN;Frutuoso Gomes;-6.158;-37.75;0
ES;Fundão;-19.933;-40.41;122
MG;Funilândia;-19.368;-44.06;711
SP;Gabriel Monteiro;-21.5;-50.6;402
PB;Gado Bravo;-7.6;-35.79;0
SP;Gália;-22.291;-49.6;671
MG;Galiléia;-18.999;-41.5;407
RN;Galinhos;-5.091;-36.28;0
SC;Galvão;-26.455;-52.69;728
PE;Gameleira;-8.6;-35.39;0
MG;Gameleiras;-15.082;-43.12;497
BA;Gandu;-13.754;-39.49;287
PE;Garanhuns;-8.756;-36.49;0
SE;Gararu;-9.968;-37.08;0
SP;Garça;-22.211;-49.66;523
RS;Garibaldi;-29.256;-51.5;0
SC;Garopaba;-28.023;-48.61;0
PA;Garrafão do Norte;-1.934;-47.05;112
RS;Garruchos;-28.184;-55.64;0
SC;Garuva;-26.027;-48.76;120
SC;Gaspar;-26.931;-48.96;0
SP;Gastão Vidigal;-20.76;-50.19;447
MT;Gaúcha do Norte;-13.242;-53.08;347
RS;Gaurama;-27.6;-52.09;0
BA;Gavião;-11.471;-39.78;581
SP;Gavião Peixoto;-21.755;-48.49;316
PI;Geminiano;-7.158;-41.36;280
RS;General Câmara;-29.905;-51.76;0
MT;General Carneiro;-15.751;-52.76;529
PR;General Carneiro;-26.428;-51.32;1173
SE;General Maynard;-10.689;-36.98;0
SP;General Salgado;-20.648;-50.36;413
CE;General Sampaio;-4.053;-39.45;107
RS;Gentil;-28.43;-52.04;0
BA;Gentio do Ouro;-11.429;-42.5;900
SP;Getulina;-21.76;-49.93;501
RS;Getúlio Vargas;-27.756;-52.23;0
PI;Gilbués;-9.755;-45.34;442
AL;Girau do Ponciano;-9.756;-36.75;0
RS;Giruá;-28.028;-54.35;0
MG;Glaucilândia;-16.755;-43.7;683
SP;Glicério;-21.376;-50.26;397
BA;Glória;-9.338;-38.25;395
MS;Glória de Dourados;-22.418;-54.23;0
PE;Glória do Goitá;-8.002;-35.29;0
MT;Glória d'Oeste;-15.757;-58.22;0
RS;Glorinha;-29.756;-50.78;0
MA;Godofredo Viana;-1.403;-45.78;12
PR;Godoy Moreira;-24.177;-51.92;400
MG;Goiabeira;-18.982;-41.22;189
MG;Goianá;-21.5;-43.25;466
PE;Goiana;-7.6;-35;0
GO;Goianápolis;-16.5;-49.02;879
GO;Goiandira;-18.132;-48.09;686
GO;Goianésia;-15.318;-49.12;117
PA;Goianésia do Pará;-3.755;-49.1;949
GO;Goiânia;-16.679;-49.25;739
RN;Goianinha;-6.265;-35.21;0
GO;Goianira;-16.496;-49.43;775
TO;Goianorte;-8.758;-48.93;250
GO;Goiás;-15.934;-50.14;468
TO;Goiatins;-7.751;-47.31;259
GO;Goiatuba;-18.013;-49.35;702
PR;Goioerê;-24.185;-53.03;435
PR;Goioxim;-25.195;-51.99;1099
MG;Gonçalves;-22.659;-45.76;163
MA;Gonçalves Dias;-5.151;-44.3;1233
BA;Gongogi;-14.322;-39.46;217
MG;Gonzaga;-18.755;-42.48;642
MG;Gouvêa;-18.454;-43.74;0
GO;Gouvelândia;-18.643;-50.07;459
MA;Governador Archer;-5.022;-44.27;96
SC;Governador Celso Ramos;-27.315;-48.6;0
RN;Governador Dix-Sept Rosado;-5.459;-37.5;0
MA;Governador Edison Lobão;-5.755;-47.36;199
MA;Governador Eugênio Barros;-5.323;-44.25;133
RO;Governador Jorge Teixeira;-10.5;-62.64;0
MA;Governador Luiz Rocha;-5.469;-44.07;186
BA;Governador Mangabeira;-12.602;-39.04;213
MA;Governador Newton Bello;-3.426;-45.68;45
MA;Governador Nunes Freire;-2.126;-45.76;75
MG;Governador Valadares;-18.756;-41.95;280
CE;Graça;-4.046;-40.75;208
MA;Graça Aranha;-5.41;-44.33;187
SE;Gracho Cardoso;-10.227;-37.2;0
MA;Grajaú;-5.755;-46.14;249
RS;Gramado;-29.379;-50.76;0
RS;Gramado dos Loureiros;-27.444;-52.92;0
RS;Gramado Xavier;-29.268;-52.6;0
PR;Grandes Rios;-24.146;-51.5;559
PE;Granito;-7.752;-39.61;501
CE;Granja;-3.12;-40.75;61
CE;Granjeiro;-6.756;-39.22;361
MG;Grão Mogol;-16.6;-42.76;861
SC;Grão Pará;-28.185;-49.21;0
PE;Gravatá;-8.251;-35.6;0
RS;Gravataí;-29.944;-50.99;0
SC;Gravatal;-28.331;-49.04;0
CE;Groaíras;-3.913;-40.38;101
RN;Grossos;-4.98;-37.15;0
