SAT;COORD
JCSat 3A ;128 
JCSat 4B ;124 
JCSat 5A ;132 
JCSat 6 ;136 
JCSat RA ;169 
Kazsat 2;86 
Kazsat 3;58 
Koreasat 5 ;113 
Koreasat 5A ;113 
Koreasat 6 ;116 
Koreasat 7 ;116 
LAOSat 1;128 
Luch ;-1
Luch 5A ;167 
Luch 5B ;-16
Luch 5V ;95 
Measat 3 ;91 
Measat 3A ;91 
Measat 3B ;91 
MexSat 2 ;-113
MexSat Bicentenario ;-115
NBN-Co 1A ;140 
NBN-Co 1B ;145 
Nigcomsat 1R;42 
Nilesat 201;-7
Nimiq 1 ;-86
Nimiq 4;-82
Nimiq 5;-73
Nimiq 6;-91
N-SAT-110 ;110 
NSS 10 ;-37
NSS 11 ;176 
NSS 12;57 
NSS 5 ;50 
NSS 6;-169
NSS 7;-20
NSS 9;-177
N-Star-C;136 
Optus 10;156 
Optus C1 ;156 
Optus D1;160 
Optus D2;152 
Optus D3;156 
Paksat-1R;38 
Paksat-MM 1 ;38 
Palapa D ;113 
PSN 6 ;146 
QuetzSat 1;-77
Rascom 1R ;3 
SES 1 ;-101
SES 10 ;-67
SES 11 ;-105
SES 12;95 
SES 14;-47
SES 15;-129
SES 2 ;-87
SES 3 ;-103
SES 4 ;-22
SES 5 ;5 
SES 6;-40
SES 7 ;108 
SES 8;95 
SES 9;108 
SGDC 1;-75
Sirius FM-5 ;-86
Sirius FM-6 ;-116
Sky-Mexico 1 ;-79
Skynet 4E;-1
Skynet 4F;-34
Skynet 5A;95 
Skynet 5B;24 
Skynet 5C;-18
Skynet 5D;53 
Skyterra 1;-101
Spaceway 2 ;-139
Spaceway 3 ;-95
ST 2;88 
Star One C1;-65
Star One C2;-70
Star One C3;-75
Star One C4 ;-70
Star One D1 ;-84
Superbird B3 ;162 
Superbird C2 ;144 
Telkom 2;157 
Telkom 3S;118 
Telkom 4 ;108 
Telstar 11N ;-37
Telstar 12 ;-109
Telstar 12V ;-15
Telstar 14R ;-63
Telstar 18 ;138 
Telstar 18V ;138 
Telstar 19V ;-63
Thaicom 4 ;119 
Thaicom 5 ;79 
Thaicom 6 ;79 
Thaicom 8;79 
Thor 3;-4
Thor 5 ;-1
Thor 6 ;-1
Thor 7;-1
Thuraya 2;44 
Thuraya 3;98 
Tupac Katari 1 ;-87
TurkmenAlem ;52 
Turksat 3A ;42 
Turksat 4A;42 
Turksat 4B;50 
ViaSat 1 ;-115
Viasat 2 ;-70
Vinasat 1;132 
Vinasat 2;132 
Wildblue 1 ;-111
XM 3 ;-85
XM 4 ;-115
XM 5 ;-85
XTAR-EUR ;29 
XTAR-LANT ;-30
Yamal 202 ;163 
Yamal 300K ;-177
Yamal 401 ;90 
Yamal 402 ;55 
Yamal 601 ;49 
